Число узлов n = 63	Число Ветвей m = 81
     Входные данные для расчета потокораспределения
           У з л ы    с е т и 
 Узел   Тип  Uном        P        Q        g           b 
  314    3    750        0        0        0           0
    7    1    750       40      200        0           0
   23    2    750    -1700      450        0   -0.001861
   35    1    750        0        0        0           0
   40    1    500      640     -260        0           0
   52    1    500      278      126        0           0
   65    1    500     1200      800        0           0
   80    1    500        0        0        0           0
   90    1    500       46       30        0           0
  128    1    500     -200     -100        0           0
  200    2    500     -200        0        0           0
   70    1    500      620       60        0           0
   42    1    500      617      112        0           0
  662    1    500     -600     -160        0           0
  446    1    500      400      200        0   -0.001878
  403    1    500      400       50        0           0
  178    1    500      100       50        0           0
  179    1    500      100       50        0           0
  176    2    500       70      -70        0           0
  492    1    750      250      200        0           0
   94    2    500     -700        0        0           0
   95    1    500      800      400        0           0
  123    1    500      300      200        0           0
  124    2    500     -200        0        0   -0.001515
  133    1    500      450      200        0           0
  444    2    780        0        0        0   -0.001861
   10    1    750      300      260        0   -0.003754
  318    1    500     -500     -250        0           0
  185    1    500      200      100        0    -0.00153
  312    1    500      200      150        0           0
   28    1    500      200      150        0           0
  445    2    500     -600        0        0    -0.00152
  427    1    750        0        0        0    -0.00188
  292    1    500        0        0        0           0
  532    1    330      200        0        0           0
  230    1    500      300      150        0    -0.00304
  213    1    500        0        0        0    -0.00152
  382    1    500      200       80        0           0
  231    2    500     -600        0        0           0
  500    1    500        0        0        0           0
  509    1    330       50       20        0           0
  504    1    330       60       30        0           0
  516    1    500        0        0        0           0
  507    1    750        0        0        0           0
  431    1    500        0        0        0    -0.00304
  272    1    500        0        0        0           0
  280    1    500      230      130        0           0
  291    2    500     -200        0        0           0
  320    1    500        0        0        0    -0.00304
  350    2    500        0        0        0    -0.00304
  300    1    500      250      130        0           0
  393    1    500        0        0        0           0
  212    2    500        0        0        0           0
  204    1    500      450      250        0    -0.00304
  171    2    500     -200        0        0    -0.00152
  190    1    500      162      141        0           0
  175    2    500    -1300        0        0    -0.00152
 1700    1    750        0        0        0    -0.00185
  676    1    330       70       30        0           0
  442    1    500        0        0        0           0
  373    1    500        0        0        0           0
   13    2    500    -1000        0        0           0
   11    1    500        0        0        0           0
   66    1    500        0        0        0           0

               В е т в и    с е т и
   N1   N2        r         x            b           g       Kt 
  231  442         3        47       0.00057         0        1
  272  442       0.1        33        0.0008         0        1
  213  442       0.1        33        0.0008         0        1
  350  373       0.1        33        0.0005         0        1
  393   80       0.1        33        0.0005         0        1
   23    7       0.1     110.6      0.001442         0        1
   23   10       0.1      57.3      0.000748         0        1
   23  492       6.7       114       0.00154         0        1
   13   28     0.412       120        0.0015         0        1
   28  312       0.1    42.913      0.000525         0        1
  312  318       0.1      42.5        0.0006         0        1
   35   10       0.1        25       0.00037         0        1
   40   52       0.1      14.8      0.000182         0        1
   40   42       0.1      23.6      0.000316         0        1
   40   13       0.1        25       0.00035         0        1
   52   65       0.1      11.8      0.000144         0        1
   52   90       0.1     23.04      0.000308         0        1
   65   95      3.36      46.2      0.000628         0        1
   95   94       0.1     52.86     0.0006485         0        1
   94  123       0.1      61.9     0.0007613         0        1
   94  318       0.1      34.3     0.0004836         0        1
  185  318       0.1    158.25      0.001998         0        1
  128   65       0.1         8    0.00027692         0        1
  128   94       0.1      62.2      0.000767         0        1
  123  133     1.184    13.626    0.00016697         0        1
  133  124     6.668    76.704   0.000939906         0        1
   65   13       4.6      47.4      0.000598         0        1
   90   95       0.1        34      0.000466         0        1
   90   80       0.1      15.8        0.0001         0        1
   80   70       0.7      10.5       4.4e-05         0        1
  200   70      2.31    26.924      0.000404         0        1
  200  204      1.87     24.84      0.000322         0        1
  393  204     1.392    20.175    0.00026782         0        1
  393  446     3.367    46.887    0.00064098         0        1
   70  662       0.1      4.27       5.2e-05         0        1
   42  662       0.1      7.53       9.9e-05         0        1
  446  445       0.1      69.4      0.000986         0        1
  403  176       0.1      23.4      0.000307         0        1
  403  175       3.4      50.3      0.000614         0        1
  178  176      2.38        35      0.000494         0        1
  178   95         3        44       0.00054         0        1
  179  176      2.38        35      0.000494         0        1
  179   95         3        44       0.00054         0        1
  176  175         3      73.6      0.000966         0        1
  445  204      6.96     136.2        0.0019         0        1
  444  427      1.83     34.96     0.0004953         0        1
  427  314       0.1     63.67     0.0007638         0        1
  292  382       0.1     95.12      0.001174         0        1
  314  507       0.1        53       0.00078         0        1
  230  382       0.1        26      0.000319         0        1
  230  231       3.9      48.7      0.000616         0        1
  230  213       0.1        16        0.0004         0        1
  213  431       0.1      31.3       0.00038         0        1
  213  272       0.1        33       0.00176         0        1
  213  212       0.1     30.36      0.000716         0        1
  231  500       0.1     27.78      0.000342         0        1
  500  516       0.1     10.77       0.00012         0        1
  431  212       0.1      59.4      0.000746         0        1
  431  190       0.1      79.6      0.000942         0        1
  272  280       0.1        78       0.00109         0        1
  272  300       0.1      49.5      0.000655         0        1
  280  291       0.1       8.8      0.000164         0        1
  320  350     4.777     49.69     0.0006179         0        1
  320  171      15.2       160      0.001888         0        1
  280  350       0.1        41      0.000528         0        1
  291  300       0.1      37.2      0.000422         0        1
  212  204       0.1      10.2       0.00051         0        1
  190  175       0.1     62.75       0.00075         0        1
  314 1700      4.12      55.6     0.0007366         0        1
   66   95       0.1      10.7       0.00012         0        1
   66  176       0.1      10.7       0.00012         0        1
  676  314       0.9      59.6            -0         0     0.44
  504  507      0.16     28.13            -0         0     0.44
  516  507      0.34     53.06            -0         0     0.66
  509  500      0.14     22.58            -0         0     0.66
  532  314      0.48      27.8            -0         0     0.44
  292  427         0      26.2            -0         0     0.66
   95  492       1.1        27            -0         0     0.66
   11   10         0        47            -0         0     0.66
  445  444         0     25.85            -0         0     0.66
   40   35       0.6     19.74            -0         0     0.66

1        24.9
2        1.07
3     0.00286
